,mean_df1,std_df1,mean_df2,std_df2,mean_diff,abs_mean_diff,z-score
secured,0.04043126684636118,0.22296243167552027,0.0,0.0,0.04043126684636118,0.04043126684636118,
permissions,0.04043126684636118,0.277018542638734,0.0,0.0,0.04043126684636118,0.04043126684636118,
obtain,0.04043126684636118,0.22296243167552027,0.0,0.0,0.04043126684636118,0.04043126684636118,
explosives,0.04043126684636118,0.34638492491580997,0.0,0.0,0.04043126684636118,0.04043126684636118,
hacks,0.03773584905660377,0.24089752286435526,0.0,0.0,0.03773584905660377,0.03773584905660377,
encrypted,0.03773584905660377,0.20448814221359227,0.0,0.0,0.03773584905660377,0.03773584905660377,
violations,0.03773584905660377,0.20448814221359227,0.0,0.0,0.03773584905660377,0.03773584905660377,
anorexia,0.03773584905660377,0.43331437346563095,0.0,0.0,0.03773584905660377,0.03773584905660377,
exploited,0.03773584905660377,0.19081403224228805,0.0,0.0,0.03773584905660377,0.03773584905660377,
suspicion,0.03773584905660377,0.2173034875729604,0.0,0.0,0.03773584905660377,0.03773584905660377,
infection,0.03504043126684636,0.25755857058116605,0.0,0.0,0.03504043126684636,0.03504043126684636,
bulimia,0.03504043126684636,0.39777922164399865,0.0,0.0,0.03504043126684636,0.03504043126684636,
firearms,0.03504043126684636,0.3227603679475709,0.0,0.0,0.03504043126684636,0.03504043126684636,
echoes,0.03504043126684636,0.19826595838112623,0.0,0.0,0.03504043126684636,0.03504043126684636,
hijacking,0.03504043126684636,0.41114367316367184,0.0,0.0,0.03504043126684636,0.03504043126684636,
boot,0.03234501347708895,0.3102390527209227,0.0,0.0,0.03234501347708895,0.03234501347708895,
morally,0.03234501347708895,0.20541230678594075,0.0,0.0,0.03234501347708895,0.03234501347708895,
antivirus,0.03234501347708895,0.4080668328882486,0.0,0.0,0.03234501347708895,0.03234501347708895,
fines,0.03234501347708895,0.17715361968729465,0.0,0.0,0.03234501347708895,0.03234501347708895,
victim's,0.03234501347708895,0.2922968679653695,0.0,0.0,0.03234501347708895,0.03234501347708895,
prescribing,0.03234501347708895,0.2922968679653695,0.0,0.0,0.03234501347708895,0.03234501347708895,
traces,0.029649595687331536,0.24754936415951878,0.0,0.0,0.029649595687331536,0.029649595687331536,
defenses,0.029649595687331536,0.1698477414137427,0.0,0.0,0.029649595687331536,0.029649595687331536,
gray,0.029649595687331536,0.1698477414137427,0.0,0.0,0.029649595687331536,0.029649595687331536,
victims,0.029649595687331536,0.1850774450568059,0.0,0.0,0.029649595687331536,0.029649595687331536,
ideology,0.029649595687331536,0.3315559324524758,0.0,0.0,0.029649595687331536,0.029649595687331536,
app's,0.029649595687331536,0.3626995422743904,0.0,0.0,0.029649595687331536,0.029649595687331536,
countermeasures,0.026954177897574125,0.1780560056215555,0.0,0.0,0.026954177897574125,0.026954177897574125,
penetration,0.026954177897574125,0.1780560056215555,0.0,0.0,0.026954177897574125,0.026954177897574125,
regulatory,0.026954177897574125,0.1780560056215555,0.0,0.0,0.026954177897574125,0.026954177897574125,
escalate,0.026954177897574125,0.16216823280932058,0.0,0.0,0.026954177897574125,0.026954177897574125,
frames,0.026954177897574125,0.1780560056215555,0.0,0.0,0.026954177897574125,0.026954177897574125,
illegality,0.026954177897574125,0.19263786373220818,0.0,0.0,0.026954177897574125,0.026954177897574125,
transaction,0.026954177897574125,0.37391449456528364,0.0,0.0,0.026954177897574125,0.026954177897574125,
chase,0.026954177897574125,0.3019327749638367,0.0,0.0,0.026954177897574125,0.026954177897574125,
reckless,0.026954177897574125,0.5191741316511651,0.0,0.0,0.026954177897574125,0.026954177897574125,
metasploit,0.02425876010781671,0.21296917147178235,0.0,0.0,0.02425876010781671,0.02425876010781671,
accountable,0.02425876010781671,0.15405923008945555,0.0,0.0,0.02425876010781671,0.02425876010781671,
profiles,0.02425876010781671,0.21296917147178235,0.0,0.0,0.02425876010781671,0.02425876010781671,
ids,0.02425876010781671,0.3237519535953982,0.0,0.0,0.02425876010781671,0.02425876010781671,
disrupting,0.02425876010781671,0.17070340295717953,0.0,0.0,0.02425876010781671,0.02425876010781671,
infected,0.0215633423180593,0.1629748219772872,0.0,0.0,0.0215633423180593,0.0215633423180593,
traced,0.0215633423180593,0.17879093378561972,0.0,0.0,0.0215633423180593,0.0215633423180593,
erode,0.0215633423180593,0.14544891609469987,0.0,0.0,0.0215633423180593,0.0215633423180593,
educators,0.0215633423180593,0.1629748219772872,0.0,0.0,0.0215633423180593,0.0215633423180593,
nmap,0.0215633423180593,0.14544891609469987,0.0,0.0,0.0215633423180593,0.0215633423180593,
receipt,0.0215633423180593,0.36697261574487616,0.0,0.0,0.0215633423180593,0.0215633423180593,
aiding,0.0215633423180593,0.14544891609469987,0.0,0.0,0.0215633423180593,0.0215633423180593,
bombs,0.0215633423180593,0.23149043095893937,0.0,0.0,0.0215633423180593,0.0215633423180593,
autonomous,0.0215633423180593,0.17879093378561972,0.0,0.0,0.0215633423180593,0.0215633423180593,
criminals,0.0215633423180593,0.19331736447960193,0.0,0.0,0.0215633423180593,0.0215633423180593,
door,0.0215633423180593,0.19331736447960193,0.0,0.0,0.0215633423180593,0.0215633423180593,
crack,0.0215633423180593,0.19331736447960193,0.0,0.0,0.0215633423180593,0.0215633423180593,
transferring,0.0215633423180593,0.1629748219772872,0.0,0.0,0.0215633423180593,0.0215633423180593,
tutorials,0.0215633423180593,0.14544891609469987,0.0,0.0,0.0215633423180593,0.0215633423180593,
celebrity's,0.0215633423180593,0.2839275376792158,0.0,0.0,0.0215633423180593,0.0215633423180593,
incitement,0.0215633423180593,0.19331736447960193,0.0,0.0,0.0215633423180593,0.0215633423180593,
kits,0.0215633423180593,0.23149043095893937,0.0,0.0,0.0215633423180593,0.0215633423180593,
undetectable,0.0215633423180593,0.24288520957637763,0.0,0.0,0.0215633423180593,0.0215633423180593,
vandalizing,0.0215633423180593,0.23149043095893937,0.0,0.0,0.0215633423180593,0.0215633423180593,
explosion,0.0215633423180593,0.2195049298310862,0.0,0.0,0.0215633423180593,0.0215633423180593,
falsifying,0.0215633423180593,0.20682603514728184,0.0,0.0,0.0215633423180593,0.0215633423180593,
offshore,0.0215633423180593,0.23149043095893937,0.0,0.0,0.0215633423180593,0.0215633423180593,
ip,0.0215633423180593,0.23149043095893937,0.0,0.0,0.0215633423180593,0.0215633423180593,
unrealistic,0.0215633423180593,0.19331736447960193,0.0,0.0,0.0215633423180593,0.0215633423180593,
liability,0.0215633423180593,0.1629748219772872,0.0,0.0,0.0215633423180593,0.0215633423180593,
ransom,0.0215633423180593,0.29329209341199075,0.0,0.0,0.0215633423180593,0.0215633423180593,
packet,0.018867924528301886,0.15481396445413154,0.0,0.0,0.018867924528301886,0.018867924528301886,
piracy,0.018867924528301886,0.3634218921558155,0.0,0.0,0.018867924528301886,0.018867924528301886,
intercept,0.018867924528301886,0.15481396445413154,0.0,0.0,0.018867924528301886,0.018867924528301886,
cs,0.018867924528301886,0.15481396445413154,0.0,0.0,0.018867924528301886,0.018867924528301886,
researchers,0.018867924528301886,0.22581937608857244,0.0,0.0,0.018867924528301886,0.018867924528301886,
traders,0.018867924528301886,0.18648907314053526,0.0,0.0,0.018867924528301886,0.018867924528301886,
rob,0.018867924528301886,0.2135157727467147,0.0,0.0,0.018867924528301886,0.018867924528301886,
routing,0.018867924528301886,0.18648907314053526,0.0,0.0,0.018867924528301886,0.018867924528301886,
harass,0.018867924528301886,0.20045842413383708,0.0,0.0,0.018867924528301886,0.018867924528301886,
agency,0.018867924528301886,0.15481396445413154,0.0,0.0,0.018867924528301886,0.018867924528301886,
consensual,0.018867924528301886,0.20045842413383708,0.0,0.0,0.018867924528301886,0.018867924528301886,
utilitarianism,0.018867924528301886,0.20045842413383708,0.0,0.0,0.018867924528301886,0.018867924528301886,
initiating,0.018867924528301886,0.22581937608857244,0.0,0.0,0.018867924528301886,0.018867924528301886,
instability,0.018867924528301886,0.13624227752280013,0.0,0.0,0.018867924528301886,0.018867924528301886,
importation,0.018867924528301886,0.3634218921558155,0.0,0.0,0.018867924528301886,0.018867924528301886,
